,Execution Time: StandardScaler,Execution Time: MinMaxScaler,GridSearch Scores: StandardScaler,GridSearch Scores: MinMaxScaler
Just_Scaling,32.596790075302124,15.280414819717407,,
Prescale_LR,746.2070355415344,579.4661359786987,0.7489754810029867,0.7489754810029867
Scale_LR,738.1206126213074,597.3925895690918,0.7489928457317496,0.748628186427728
Scale_SGD,429.18738293647766,213.33551025390625,0.7424637077168854,0.7419254011252344
Scale_XGB,944.5248074531555,909.2891235351562,0.9170486906994513,0.9196881294714176
